,Tweet Content,User Name,Tweet Id,HashTags,CreatedAt,Retweet Count,Favourite Count,Image URL,Embedded URL
29,"#100DaysOfCode [Day 3]

Forgot to post last night, so I'm doing it now.
Introduced to node.js and sequelize and spent the whole day working on that as well as CRUD. Was a good day and a long day.

#nodejs #CRUD #sequelize #Career_Karma #programming #javascript #DEVCommunity",Ian_Alexanderz,1362908971460222977,"['100DaysOfCode', 'nodejs', 'CRUD', 'sequelize', 'Career_Karma', 'programming', 'javascript', 'DEVCommunity']",2021-02-19 23:36:35+08:00,11,10,no images,[]
30,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""We see things not as they are, but as we are. Our perception is shaped by our previous experiences.""",TheFieryBot,1361826665186361345,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-16 23:55:53+08:00,11,4,no images,[]
31,"Deployment of #Starlink #satellites. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #SpaceX #robotics #SocialMedia https://t.co/DvQC59WU7Z",Innovat78455398,1363999280348819465,"['Starlink', 'satellites', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'SpaceX', 'robotics', 'SocialMedia']",2021-02-22 23:49:04+08:00,11,2,no images,['https://t.co/DvQC59WU7Z']
32,"Day 41: #100DaysOfCode 
Today was about Web development using HTML.
Created a simple site using headings &lt;h1&gt; to &lt;h6&gt;, &lt;hr&gt; for horizontal rule, list &lt;li&gt;, break &lt;br&gt; to add lines, linked pages &amp; added photo.

Increase the effort👌 
#WomenWhoCode #DEVCommunity #developer https://t.co/xzcRFdalMs",AdewaleMarian,1362187887098417152,"['100DaysOfCode', 'WomenWhoCode', 'DEVCommunity', 'developer']",2021-02-17 23:51:15+08:00,10,11,"['http://pbs.twimg.com/media/Eud2p3vVEAAEVcU.jpg', 'http://pbs.twimg.com/media/Eud2qdEUcAI6qTZ.jpg']",['https://t.co/xzcRFdalMs']
33,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""Put your future in good hands your own.""",TheFieryBot,1363269681650552835,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-20 23:29:55+08:00,10,5,no images,[]
34,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""One who is too insistent on his own views, finds few to agree with him.""",TheFieryBot,1363275217922105345,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-20 23:51:55+08:00,10,4,no images,[]
35,"Stable version of Gatsby Source Wordpress v4 plugin released!

#development #developer #webdesign #webdesigner  #react #reactjs #webpack #nodejs #frontend #coding #code #devcommunity #dev #tutorial #100daysofcoding #javascript #programming
#software #html

https://t.co/MgbN15bqKu",polyniqueblog,1362546671532584962,"['development', 'developer', 'webdesign', 'webdesigner', 'react', 'reactjs', 'webpack', 'nodejs', 'frontend', 'coding', 'code', 'devcommunity', 'dev', 'tutorial', '100daysofcoding', 'javascript', 'programming', 'software', 'html']",2021-02-18 23:36:56+08:00,10,4,no images,['https://t.co/MgbN15bqKu']
36,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""Nothing is at last sacred but the integrity of your own mind.""",TheFieryBot,1362547048546004993,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-18 23:38:25+08:00,10,1,no images,[]
37,"🧠 R2D27 of #100DaysOfCode:

Nope, still not feeling these data structures / algorithms 🙃
✔️ big o (&amp; the diff time algorithms)
✔️ bubble sort vs merge sort

Hopefully, I will understand better during the weekend 🙏 
#DEVCommunity #CodeNewbie #WomenWhoCode",sandaiiyahh,1362185095084449792,"['100DaysOfCode', 'DEVCommunity', 'CodeNewbie', 'WomenWhoCode']",2021-02-17 23:40:09+08:00,9,12,no images,[]
38,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending.""",TheFieryBot,1362909567550713856,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-19 23:38:57+08:00,9,4,no images,[]
39,"Developers speak on how they handle  imposter syndrome. #100DaysOfCode #DEVCommunity 
 https://t.co/2t5tl8SDKv",devsLikeUs,1362185446076391425,"['100DaysOfCode', 'DEVCommunity']",2021-02-17 23:41:33+08:00,8,6,no images,['https://t.co/2t5tl8SDKv']
40,"Machine Learning For Absolute Beginners: A Plain English Introduction

Link - https://t.co/3vAZLZC99Y

#MachineLearning #100DaysOfCode #CodeNewbies #WomenWhoCode #DEVCommunity #DevOps #SoftwareEngineering #DeepLearning #DataScience #ArtificialIntelligence #programming",rasangarocks,1364103192217219073,"['MachineLearning', '100DaysOfCode', 'CodeNewbies', 'WomenWhoCode', 'DEVCommunity', 'DevOps', 'SoftwareEngineering', 'DeepLearning', 'DataScience', 'ArtificialIntelligence', 'programming']",2021-02-23 06:41:59+08:00,8,3,no images,['https://t.co/3vAZLZC99Y']
41,"#Ladybug by #drawing looks real in a box. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #Science #futureofwork #Pencildrawing https://t.co/vwTsACSYqN",Innovat78455398,1361826953507045376,"['Ladybug', 'drawing', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'Science', 'futureofwork', 'Pencildrawing']",2021-02-16 23:57:01+08:00,8,3,no images,['https://t.co/vwTsACSYqN']
42,"How to make multi-theme support using CSS variables

{ author: @hi_iam_chris_ } #DEVCommunity #javascript https://t.co/Nv6V9r0U9o",TheJSDev,1362910087875018752,"['DEVCommunity', 'javascript']",2021-02-19 23:41:01+08:00,7,4,no images,['https://t.co/Nv6V9r0U9o']
43,"Want to be able to talk to each other in a virtual 3D environment using the @HighFidelityXR #SpatialAudio #API?

Here's a guide to follow: https://t.co/fSpfDmJkNw
#DevCommunity #100DaysofCode #Javascript #WebApp #Code",HighFidelityXR,1361824932993335296,"['SpatialAudio', 'API', 'DevCommunity', '100DaysofCode', 'Javascript', 'WebApp', 'Code']",2021-02-16 23:49:00+08:00,7,4,no images,['https://t.co/fSpfDmJkNw']
44,Simple Trick to create a NodeJS Server on Windows/Ubuntu #programmer #programming #dotnetforall #100DaysOfCode #DEVCommunity  https://t.co/LcbVw7vG1O,dotnetforall,1363637845093670913,"['programmer', 'programming', 'dotnetforall', '100DaysOfCode', 'DEVCommunity']",2021-02-21 23:52:52+08:00,7,2,no images,['https://t.co/LcbVw7vG1O']
45,"How water comes up to faucet? #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #drones #Engineering #robotics #SocialMedia https://t.co/FtB6S25LQ7",Innovat78455398,1363998555464032259,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'drones', 'Engineering', 'robotics', 'SocialMedia']",2021-02-22 23:46:12+08:00,7,1,no images,['https://t.co/FtB6S25LQ7']
72,"#Future #tire goes like round. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #Science #futureofwork #EV #selfdrivingcar https://t.co/UbGHlDqDWo",Innovat78455398,1361823822312185857,"['Future', 'tire', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'Science', 'futureofwork', 'EV', 'selfdrivingcar']",2021-02-16 23:44:35+08:00,7,1,no images,['https://t.co/UbGHlDqDWo']
46,"Learning how to code! Live now -&gt; https://t.co/mKSgtPU2L8 Say hello!

#JetBrains #coding #programming #webdevelopment #stream #TwitchStreamers  #dev  #HTML #CSS #STEM #javascript #developer #100DaysOfCode #DEVCommunity #twitch #code #twitchaffiliate #30daysofcode #pythonlearning",MrBogski,1362550816960360449,"['JetBrains', 'coding', 'programming', 'webdevelopment', 'stream', 'TwitchStreamers', 'dev', 'HTML', 'CSS', 'STEM', 'javascript', 'developer', '100DaysOfCode', 'DEVCommunity', 'twitch', 'code', 'twitchaffiliate', '30daysofcode', 'pythonlearning']",2021-02-18 23:53:24+08:00,6,9,no images,['https://t.co/mKSgtPU2L8']
47,"#Robotics in 2021: Guess what are the most popular robot applications!  https://t.co/QZes2WKnag 
#MachineLearning #DataScience #Python #AI  #DEVCommunity #IoT #flutter #tech #DeepLearning #startups #COVID19 #data #5G #Innovation #Cabot #Robots https://t.co/LwevQclVJH",SRPPaloAlto,1362547492643037185,"['Robotics', 'MachineLearning', 'DataScience', 'Python', 'AI', 'DEVCommunity', 'IoT', 'flutter', 'tech', 'DeepLearning', 'startups', 'COVID19', 'data', '5G', 'Innovation', 'Cabot', 'Robots']",2021-02-18 23:40:11+08:00,6,5,['http://pbs.twimg.com/media/Eui9uNHXYAEKPeR.jpg'],"['https://t.co/QZes2WKnag', 'https://t.co/LwevQclVJH']"
48,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""To change ones life, start immediately, do it flamboyantly, no exceptions.""",TheFieryBot,1364103802576658438,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-23 06:44:25+08:00,6,3,no images,[]
49,"#DEVCommunity #webdev #CodeNewbie #javascript #100DaysOfCode 
""You may only be someone in the world, but to someone else, you may be the world.""",TheFieryBot,1362912335766110214,"['DEVCommunity', 'webdev', 'CodeNewbie', 'javascript', '100DaysOfCode']",2021-02-19 23:49:57+08:00,6,2,no images,[]
50,Create N number of instance of class #programmer #programming #dotnetforall #100DaysOfCode #DEVCommunity  https://t.co/r2uAGiFFGe,dotnetforall,1362551132489478144,"['programmer', 'programming', 'dotnetforall', '100DaysOfCode', 'DEVCommunity']",2021-02-18 23:54:39+08:00,6,1,no images,['https://t.co/r2uAGiFFGe']
51,Create an https://t.co/VUwPxXzZLc MVC application to display Data Collection #programmer #programming #dotnetforall #100DaysOfCode #DEVCommunity  https://t.co/FRJvN9MvET,dotnetforall,1363637538582315008,"['programmer', 'programming', 'dotnetforall', '100DaysOfCode', 'DEVCommunity']",2021-02-21 23:51:39+08:00,5,2,no images,"['https://t.co/VUwPxXzZLc', 'https://t.co/FRJvN9MvET']"
52,"If you are starting your journey as a developer you must learn the version-control system.

Learn how to get started with Git in this dead-simple guide

#git #webdev #OpenSource #github #bitbucket #Coding #DEVCommunity 

https://t.co/TlkB1hFa54",r8here,1362546689165455363,"['git', 'webdev', 'OpenSource', 'github', 'bitbucket', 'Coding', 'DEVCommunity']",2021-02-18 23:37:00+08:00,5,1,no images,['https://t.co/TlkB1hFa54']
53,"#futuristic #3D display screen.  #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #Science #futureofwork #apps #ecommerce https://t.co/5M81pEEvhd",Innovat78455398,1361826199840821250,"['futuristic', '3D', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'Science', 'futureofwork', 'apps', 'ecommerce']",2021-02-16 23:54:02+08:00,5,1,no images,['https://t.co/5M81pEEvhd']
54,"Wheels gliding cars laterally. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #Science #futureofwork #tire #ElectricVehicles https://t.co/U1bukCtx1P",Innovat78455398,1361824168166133763,"['DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'Science', 'futureofwork', 'tire', 'ElectricVehicles']",2021-02-16 23:45:57+08:00,5,1,no images,['https://t.co/U1bukCtx1P']
55,"In this article, I'll be show you how to handle errors in NodeJS as well as how to create a global error handler to handle unforeseen errors when you ship products from development to production.

{ author: @olanetsoft } #DEVCommunity https://t.co/bACoeUg7bE",ThePracticalDev,1362910842958852096,['DEVCommunity'],2021-02-19 23:44:01+08:00,4,24,no images,['https://t.co/bACoeUg7bE']
56,"Reaction test before #formular1 #race. #DEVCommunity #Programming #IoT #IoTPL #AI
#100DaysOfCode #MachineLearning #Airdrop
#CloudComputing #Analytics #Serverless  
#cybersecurity #ArtificialIntelligence  #DataScience #5G    #innovation #Science #futureofwork #motorrace https://t.co/jiAabWdw76",Innovat78455398,1361825613955231752,"['formular1', 'race', 'DEVCommunity', 'Programming', 'IoT', 'IoTPL', 'AI', '100DaysOfCode', 'MachineLearning', 'Airdrop', 'CloudComputing', 'Analytics', 'Serverless', 'cybersecurity', 'ArtificialIntelligence', 'DataScience', '5G', 'innovation', 'Science', 'futureofwork', 'motorrace']",2021-02-16 23:51:42+08:00,4,4,no images,['https://t.co/jiAabWdw76']
57,"Less is more: simplify your React code to superpower your applications - part 2

{ author: @jmitchel85 } #DEVCommunity #javascript https://t.co/GCvYyGrXpA",TheJSDev,1362185313947418628,"['DEVCommunity', 'javascript']",2021-02-17 23:41:01+08:00,4,3,no images,['https://t.co/GCvYyGrXpA']
58,"Immer vs Ramda - two approaches towards writing Redux reducers

#DEVCommunity https://t.co/VI0eTMkfSH",TheJSDev,1363272473735819265,['DEVCommunity'],2021-02-20 23:41:00+08:00,3,12,no images,['https://t.co/VI0eTMkfSH']
59,"Building a blog with Svelte: dynamic imports for Svelte components

{ author: @c_jackson_js } #DEVCommunity #javascript https://t.co/dUwim0r5gz",TheJSDev,1362547700017860611,"['DEVCommunity', 'javascript']",2021-02-18 23:41:01+08:00,3,5,no images,['https://t.co/dUwim0r5gz']
60,"Handy but high-security featured contact form in 5 minutes:) 

""Building a Contact Form with Gatsby &amp; getform in 5 minutes"" #DEVCommunity https://t.co/FkQmoOND6K",arisa_dev,1364101217794678791,['DEVCommunity'],2021-02-23 06:34:08+08:00,3,1,no images,['https://t.co/FkQmoOND6K']
61,"React Clean Code - Simple ways to write better and cleaner code

#DEVCommunity https://t.co/dF0fA9Sosb",TheJSDev,1364099674672668673,['DEVCommunity'],2021-02-23 06:28:00+08:00,2,6,no images,['https://t.co/dF0fA9Sosb']
62,"I am relatively new to web development, but I feel like I've lost focus because of the amount of resources, framework etc.
It makes me feel overwhelmed trying to get familiar with all of these.
Any advice?

#webdev #webdevelopment #FrontEnd #code #udemy #DEVCommunity #developers",const_addIn,1363638648076460034,"['webdev', 'webdevelopment', 'FrontEnd', 'code', 'udemy', 'DEVCommunity', 'developers']",2021-02-21 23:56:03+08:00,2,2,no images,[]
63,"Improve your soft skills and drive your career 

#100DaysOfCode #CodeNewbies #DEVCommunity https://t.co/sSJo5risl1",FrontendMaestro,1364103874684981250,"['100DaysOfCode', 'CodeNewbies', 'DEVCommunity']",2021-02-23 06:44:42+08:00,2,1,no images,['https://t.co/sSJo5risl1']
64,"Hungry for a little QA karma?🤩

At @lambdatesting, we love to make testing accessible to everyone. Nothing pleases our community more than seeing one of their own succeed. Come join us in making testing cool again😎

https://t.co/TNfJR3HI6p

#DEVCommunity #web #testing #DevOps",sarahelson81,1364099346384347153,"['DEVCommunity', 'web', 'testing', 'DevOps']",2021-02-23 06:26:42+08:00,2,1,no images,['https://t.co/TNfJR3HI6p']
65,"If you love DynamoDB as much as I do, then you cringe whenever you have to leave the comfort of the scale, performance, and availability of DynamoDB. Fret no longer!

{ author: @quizout } #DEVCommunity https://t.co/2afjqZvotj",ThePracticalDev,1364103449378496512,['DEVCommunity'],2021-02-23 06:43:00+08:00,1,6,no images,['https://t.co/2afjqZvotj']
